COSPAR_number;NORAD_number;contractor1;contractor2;contractor3;contractor4;contractor5
2021-006BQ ;47475;Planet Labs, Inc.;;;;
2021-006BJ ;47469;Planet Labs, Inc.;;;;
2021-006BS ;47477;Planet Labs, Inc.;;;;
2021-006BN ;47473;Planet Labs, Inc.;;;;
2021-006DW ;47530;Planet Labs, Inc.;;;;
2021-006DN ;47522;Planet Labs, Inc.;;;;
2021-006CF ;47490;Planet Labs, Inc.;;;;
2021-006CG ;47491;Planet Labs, Inc.;;;;
2021-006ER ;47698;Planet Labs, Inc.;;;;
2021-006EQ ;47612;Planet Labs, Inc.;;;;
2021-006EN ;47687;Planet Labs, Inc.;;;;
2021-006EM ;47686;Planet Labs, Inc.;;;;
2021-006EP ;47688;Planet Labs, Inc.;;;;
2021-006EK ;47684;Planet Labs, Inc.;;;;
2021-006EL ;47685;Planet Labs, Inc.;;;;
2021-006EJ ;47617;Planet Labs, Inc.;;;;
2021-006DF ;47515;Planet Labs, Inc.;;;;
2021-006DJ ;47518;Planet Labs, Inc.;;;;
2021-006DT ;47527;Planet Labs, Inc.;;;;
2021-006BP ;47474;Planet Labs, Inc.;;;;
2021-006BT ;47478;Planet Labs, Inc.;;;;
2020-061AT;46313;Planet Labs, Inc.;;;;
2020-061AA;46296;Planet Labs, Inc.;;;;
2020-061P;46285;Planet Labs, Inc.;;;;
2020-061AB;46297;Planet Labs, Inc.;;;;
2020-061Q;46286;Planet Labs, Inc.;;;;
2020-061BE;46528;Planet Labs, Inc.;;;;
2020-061BD;46527;Planet Labs, Inc.;;;;
2020-061BF;46529;Planet Labs, Inc.;;;;
2020-061BG;46597;Planet Labs, Inc.;;;;
2020-061BH;46609;Planet Labs, Inc.;;;;
2020-061BJ;46621;Planet Labs, Inc.;;;;
2020-061BL;46735;Planet Labs, Inc.;;;;
2020-061BM;46737;Planet Labs, Inc.;;;;
2020-061BN;46738;Planet Labs, Inc.;;;;
2020-061BP;46812;Planet Labs, Inc.;;;;
2020-061PQ;46825;Planet Labs, Inc.;;;;
2020-061AU;46314;Planet Labs, Inc.;;;;
2020-061U;46290;Planet Labs, Inc.;;;;
2020-061T;46289;Planet Labs, Inc.;;;;
2020-061V;46291;Planet Labs, Inc.;;;;
2020-061S;46288;Planet Labs, Inc.;;;;
2022-002AK;51017;Planet Labs, Inc.;;;;
2022-002BF;51037;Planet Labs, Inc.;;;;
2022-002BT;51049;Planet Labs, Inc.;;;;
2022-002AH;51015;Planet Labs, Inc.;;;;
2022-002AW;51028;Planet Labs, Inc.;;;;
2022-002CL;51066;Planet Labs, Inc.;;;;
2022-002AC;51010;Planet Labs, Inc.;;;;
2022-002AN;51020;Planet Labs, Inc.;;;;
2022-002BD;51035;Planet Labs, Inc.;;;;
2022-002Z;51007;Planet Labs, Inc.;;;;
2022-002BQ;51046;Planet Labs, Inc.;;;;
2022-002N;50996;Planet Labs, Inc.;;;;
2022-002P;50997;Planet Labs, Inc.;;;;
2022-002BJ;51040;Planet Labs, Inc.;;;;
2022-002V;51003;Planet Labs, Inc.;;;;
2022-002CA;51056;Planet Labs, Inc.;;;;
2022-002AJ;51016;Planet Labs, Inc.;;;;
2022-002AU;51026;Planet Labs, Inc.;;;;
2022-002BP;51045;Planet Labs, Inc.;;;;
2022-002AD;51011;Planet Labs, Inc.;;;;
2022-002Y;51006;Planet Labs, Inc.;;;;
2022-002S;51000;Planet Labs, Inc.;;;;
2022-002BK;51041;Planet Labs, Inc.;;;;
2022-002AS;51024;Planet Labs, Inc.;;;;
2022-002BL;51042;Planet Labs, Inc.;;;;
2022-002BS;51048;Planet Labs, Inc.;;;;
2022-002BH;51039;Planet Labs, Inc.;;;;
2022-002AB;51009;Planet Labs, Inc.;;;;
2022-002AR;51023;Planet Labs, Inc.;;;;
2022-002AX;51029;Planet Labs, Inc.;;;;
2022-002CJ;51064;Planet Labs, Inc.;;;;
2022-002BW;51052;Planet Labs, Inc.;;;;
2022-002X;51005;Planet Labs, Inc.;;;;
2022-002AL;51018;Planet Labs, Inc.;;;;
2022-002AV;51027;Planet Labs, Inc.;;;;
2022-002K;50993;Planet Labs, Inc.;;;;
2022-002W;51004;Planet Labs, Inc.;;;;
2022-002BM;51043;Planet Labs, Inc.;;;;
2022-002CK;51065;Planet Labs, Inc.;;;;
2022-002J;50992;Planet Labs, Inc.;;;;
2022-002BR;51047;Planet Labs, Inc.;;;;
2023-001AG;55039;Planet Labs, Inc.;;;;
2023-001W;55029;Planet Labs, Inc.;;;;
2023-001AL;55043;Planet Labs, Inc.;;;;
2023-001BJ;55065;Planet Labs, Inc.;;;;
2023-001BY;55079;Planet Labs, Inc.;;;;
2023-001R;55024;Planet Labs, Inc.;;;;
2023-001BM;55068;Planet Labs, Inc.;;;;
2023-001AH;55040;Planet Labs, Inc.;;;;
2023-001Y;55031;Planet Labs, Inc.;;;;
2023-001Q;55023;Planet Labs, Inc.;;;;
2023-001T;55026;Planet Labs, Inc.;;;;
2023-001BT;55074;Planet Labs, Inc.;;;;
2023-001BG;55063;Planet Labs, Inc.;;;;
2023-001BW;55077;Planet Labs, Inc.;;;;
2023-001P;55022;Planet Labs, Inc.;;;;
2023-001BZ;55080;Planet Labs, Inc.;;;;
2023-001M;55020;Planet Labs, Inc.;;;;
2023-001U;55027;Planet Labs, Inc.;;;;
2023-001BP;55070;Planet Labs, Inc.;;;;
2023-001CC;55083;Planet Labs, Inc.;;;;
2023-001AA;55033;Planet Labs, Inc.;;;;
2023-001X;55030;Planet Labs, Inc.;;;;
2023-001AC;55035;Planet Labs, Inc.;;;;
2023-001S;55025;Planet Labs, Inc.;;;;
2023-001BU;55075;Planet Labs, Inc.;;;;
2023-001N;55021;Planet Labs, Inc.;;;;
2023-001AK;55042;Planet Labs, Inc.;;;;
2023-001CB;55082;Planet Labs, Inc.;;;;
2023-001BA;55057;Planet Labs, Inc.;;;;
2023-001BX;55078;Planet Labs, Inc.;;;;
2023-001AY;55055;Planet Labs, Inc.;;;;
2023-001V;55028;Planet Labs, Inc.;;;;
2023-001BK;55066;Planet Labs, Inc.;;;;
2023-001Z;55032;Planet Labs, Inc.;;;;
2023-001BQ;55071;Planet Labs, Inc.;;;;
2023-001BN;55069;Planet Labs, Inc.;;;;
2022-039A;52257;China Academy of Space Technology (CAST);;;;
2021-102D;49398;Kawasaki Heavy Industries;;;;
2022-072A;52935;Satrec Initiative;;;;
2003-008A;27691;Lockheed Martin Missiles & Space;;;;
2003-040A;27875;Lockheed Martin Missiles & Space;;;;
1997-065A;25019;Lockheed Martin Missiles & Space;;;;
2000-065A;26575;Lockheed Martin Missiles & Space;;;;
1995-038A;23628;Lockheed Martin Missiles & Space;;;;
2000-001A;26052;Lockheed Martin Missiles & Space;;;;
2000-024A;26356;TRW and Aerojet Electronics Systems;;;;
2001-033A;26880;TRW and Aerojet Electronics Systems;;;;
2004-004A;28158;TRW and Aerojet Electronics Systems;;;;
2019-036F;44344;Air Force Research Laboratory;;;;
2013-066D;39419;Satrec Initiative;;;;
2020-058C;46234;Academy of Military Science;;;;
2022-047AF;52423;ESPACE;;;;
2022-047AG;52424;ESPACE;;;;
2022-047AJ;52426;ESPACE;;;;
1997-050A;24936;Lockheed Commercial Space Systems;;;;
2018-099AJ;43790;OHB Italia;;;;
2006-003A;28935;Space Systems;Loral;;;
2008-035A;33207;Space Systems;Loral;;;
2010-010A;36499;Space Systems;Loral;;;
2010-034A;36792;Space Systems;Loral;;;
2012-065A;39008;Space Systems;Loral;;;
2012-035A;38551;Space Systems;Loral;;;
2016-039B;41592;Space Systems;Loral;;;
2016-079A;41893;Space Systems;Loral;;;
2017-032A;42749;Space Systems;Loral;;;
2017-014A;42070;Lockheed Martin Missiles & Space;;;;
2002-006A;27378;Space Systems;Loral;;;
2003-034A;27854;Space Systems;Loral;;;
2008-016A;32763;Space Systems;Loral;;;
2019-038B;44388;Ecuador Technical University;;;;
2019-049A;44475;OHB Germany;;;;
2019-008A;44047;RKK Energia;;;;
2015-066A;41032;RKK Energia;;;;
2017-027A;42719;RKK Energia;;;;
2019-065A;44552;RKK Energia;;;;
2020-031A;45608;RKK Energia;;;;
2021-113A;49503;RKK Energia;;;;
2019-038Y;44408;Momentus;;;;
2011-001A;37344;Lavochkin;;;;
2015-074A;41105;Lavochkin;;;;
2019-095A;44903;Lavochkin;;;;
2023-016A;55506;Lavochkin;;;;
2018-070D ;43616;University of California;;;;
2011-076D;38010;Astrium;Thales Alenia Space;;;
2011-076B;38008;Astrium;Thales Alenia Space;;;
2011-076A;38007;Astrium;Thales Alenia Space;;;
2011-076C;38009;Astrium;Thales Alenia Space;;;
2023-054AQ;56216;Clyde Space Ltd.;EUTELSAT;;;
2021-022N;47944;Astroscale;Surrey Satellite Technology Ltd.;;;
2019-018A;44078;Indian Space Research Organization (ISRO);;;;
2022-033C;52159;OHB System-AG;;;;
2023-001AW;55053;Dragonfly Aerospace;;;;
2020-081A;46905;Indian Space Research Organization (ISRO);;;;
2022-013A;51656;ISRO Satellite Center;;;;
2023-019A;55562;ISRO Satellite Center;;;;
1999-068A;25994;Lockheed Martin;;;;
2004-026A;28376;TRW;;;;
2002-022A;27424;NASA;Jet Propulsion Laboratory;Japan Aerospace Exploration Agency;Equatorial Systems (Brazil);
2020-091D;47230;Unknown;;;;
2016-080A;41896;Japan Aerospace Exploration Agency (JAXA);;;;
2006-014A;29079;Israel Aircraft Industries (IAI);;;;
2013-044A;39233;Space Systems;Loral;;;
2018-090A;43700;Mitsubishi Electric;;;;
2020-061B;46273;LuxSpace;;;;
2018-099AL;43792;Carlo Gavazzi Space (CGS) working with network of universities;;;;
2018-036F;43446;Air Force Research Laboratory;;;;
2020-102E;47300;Beijing Zhixing Space Technology Co. Ltd;;;;
2019-093B;44880;China Academy of Space Technology (CAST);;;;
2018-099BB;43807;German Aerospace Center (DLR);;;;
2009-016A;34710;Thales Alenia Space;;;;
2006-020A;29162;Space Systems;Loral;;;
2015-010B;40425;Boeing Defense and Space;;;;
2013-012A;39122;Space Systems;Loral;;;
2016-038B;41589;Boeing Satellite Systems;;;;
2001-011A;26719;Alcatel Space Industries;;;;
2004-008A;28187;Astrium;;;;
2011-057A;37836;Thales Alenia Space;;;;
2017-029B;42741;Airbus Defense and Space;;;;
2005-052A;28924;Alcatel Alenia Space;;;;
2012-062B;38992;Thales Alenia Space;;;;
2009-008B;33750;EADS Astrium;;;;
2000-028A;26369;Alcatel Space Industries;;;;
2009-065A;36101;Thales Alenia Space;;;;
2014-030A;39773;Airbus Defense and Space;;;;
2002-035A;27460;Alcatel Space Industries;;;;
2019-067A;44624;Northrup Grumman Innovation Systems;;;;
2016-014A;41382;Space Systems;Loral;;;
2011-051A;37816;Astrium;;;;
2012-069A;39020;EADS Astrium;;;;
2013-022A;39163;Thales Alenia Space;;;;
2019-034B;44334;Maxar Technologies;;;;
2015-039B;40875;Thales Alenia Space;;;;
2016-005A;41310;Airbus Defense and Space;;;;
2006-032A;29270;EADS Space;;;;
2008-065A;33459;EADS Astrium;;;;
2006-007B;28945;Alcatel Alenia Space;;;;
2022-134A;54048;Airbus Defence and Space;;;;
2022-146A;54225;Airbus Defence and Space;;;;
2010-069A;37258;EADS Astrium;;;;
2020-005B;45027;Thales Alenia Space;;;;
2022-110A;53765;Thales Alenia Space;;;;
2021-069B;49056;Airbus;;;;
2011-044F;37793;SpaceQuest;;;;
2015-052G;40936;Space Flight Laboratory (SFL);;;;
2018-099BP;43819;NovaWurks;;;;
2021-002L;47319;California Polytechnic Institute;;;;
2020-053B;45986;ISS Reshetnev;Thales Alenia Space;;;
2020-053A;45985;ISS Reshetnev;Thales Alenia Space;;;
2005-023A;28707;NPO-PM;Alcatel;;;
2008-003A;32478;NPO-PM;Thales Alenia Space;;;
2009-007A;33595;NPO-PM;Thales Alenia Space;;;
2013-077A;39487;OAO-ISS;;;;
2014-064A;40277;ISS Reshetnev ;;;;
2015-012A;40505;Airbus Defense and Space;;;;
2015-048A;40895;ISS Reshetnev;;;;
2015-082A;41191;Airbus Defense and Space;;;;
2021-123A;50001;ISS Reshetnev;;;;
2021-123B;50002;ISS Reshetnev;;;;
2014-010A;39612;OAO-ISS;;;;
2014-010B;39613;OAO-ISS;;;;
2018-099T;43775;Amateur Radio enthusiasts;;;;
2019-092E;44877;CNES;;;;
2018-096C;43721;GomSpace;;;;
2023-054AD;56205;GomSpace;;;;
2020-090A;47226;Airbus Defense and Space;Thales Alenia Space;;;
2007-006E;30776;US Air Force Academy;;;;
2018-099BK;43815;US Air Force Academy;;;;
2019-036J;44347;US Air Force Academy;;;;
2020-029B;45610;US Air Force Academy;;;;
2021-059AX;48924;GomSpace;;;;
2010-062F;37227;University of Texas - Austin;;;;
2018-015A;43192;Link Space Aerospace Technology;;;;
2012-064B;38998;China Academy of Space Technology (CAST);;;;
2012-002A;38049;Shanghai Academy of Spaceflight Technology (SAST);;;;
2014-090A;40367;Shanghai Academy of Spaceflight Technology (SAST);;;;
2018-050A;43491;Shanghai Academy of Spaceflight Technology (SAST);;;;
2010-059A;37214;Shanghai Academy of Spaceflight Technology (SAST);;;;
2013-052A;39260;Shanghai Academy of Spaceflight Technology (SAST);;;;
2017-072A;43010;Shanghai Academy of Spaceflight Technology (SAST);;;;
2021-062A;49008;Shanghai Academy of Spaceflight Technology (SAST);;;;
2016-077A;41882;Shanghai Academy of Spaceflight Technology (SAST);;;;
2021-047A;48808;Shanghai Academy of Spaceflight Technology (SAST);;;;
2008-029A;33053;General Dynamics;;;;
2010-046A;37162;National Reconnaissance Office (NRO);;;;
2012-014A;38109;National Reconnaissance Office (NRO);;;;
2013-072A;39462;National Reconnaissance Office (NRO);;;;
2016-010A;41334;National Reconnaissance Office (NRO);;;;
2018-005A;43145;National Reconnaissance Office (NRO);;;;
2017-042G;42831;University of Stuttgart;;;;
1989-077A;20253;TRW, Defense and Space Systems Group;;;;
2017-049A;42920;National Space Organization;;;;
1997-047A;24920;Los Alamos National Laboratory;Sandia National Laboratory;;;
2021-033C;48250;Cultivate Space Technology Co.;;;;
2018-099N;43770;Radio Amateur Satellite Corporation (AMSAT);;;;
2020-061W;46292;consortium of European companies and institutes;;;;
2020-061X;46293;consortium of European companies and institutes;;;;
2013-066AE;39444;AMSAT;UK-AMSAT;NL;;
1999-071A;26038;Boeing Satellite Systems;;;;
2003-013B;27715;Orbital Sciences Corp.;;;;
2003-044A;27954;Boeing Satellite Systems;;;;
2005-030A;28790;Orbital Sciences Corp.;;;;
2005-041A;28884;Orbital Sciences Corp.;;;;
2006-023A;29236;Space Systems;Loral;;;
2007-016B;31307;Thales Alenia Space;;;;
2008-024A;32951;Space Systems;Loral;;;
2008-045A;33376;Space Systems;Loral;;;
1997-026A;24812;Space Systems;Loral;;;
2005-022A;28702;Space Systems;Loral;;;
2020-056C;46114;Northrup Grumman;;;;
2022-128A;54026;Northrup Grumman;;;;
2022-128B;54027;Northrup Grumman;;;;
2002-030A;27445;Boeing Satellite Systems;;;;
2014-050A;40128;OHB-System GmbH, SSTL ;;;;
2016-030A;41549;OHB-System GmbH, SSTL ;;;;
2016-030B;41550;OHB-System GmbH, SSTL ;;;;
2016-069B;41860;OHB-System GmbH, SSTL ;;;;
2016-069C;41861;OHB-System GmbH, SSTL ;;;;
2016-069D;41862;OHB-System GmbH, SSTL ;;;;
2017-079A;43055;OHB-System GmbH, SSTL ;;;;
2017-079B;43056;OHB-System GmbH, SSTL ;;;;
2017-079C;43057;OHB-System GmbH, SSTL ;;;;
2017-079D;43058;OHB-System GmbH, SSTL ;;;;
2018-060C;43566;OHB-System GmbH, SSTL;;;;
2014-050B;40129;OHB-System GmbH, SSTL ;;;;
2018-060D;43567;OHB-System GmbH, SSTL;;;;
2018-060A;43564;OHB-System GmbH, SSTL;;;;
2018-060B;43565;OHB-System GmbH, SSTL;;;;
2021-116A;49809;OHB-System GmbH, SSTL;;;;
2021-116B;49810;OHB-System GmbH, SSTL;;;;
2015-017A;40544;OHB-System GmbH, SSTL ;;;;
2015-017B;40545;OHB-System GmbH, SSTL ;;;;
2015-045A;40889;OHB-System GmbH, SSTL ;;;;
2015-045B;40890;OHB-System GmbH, SSTL ;;;;
2016-069A;41859;OHB-System GmbH, SSTL ;;;;
2015-079B;41175;OHB-System GmbH, SSTL ;;;;
2015-079A;41174;OHB-System GmbH, SSTL ;;;;
2011-060B;37847;Astrium;Thales Alenia Space;;;
2011-060A;37846;Astrium;Thales Alenia Space;;;
2012-055A;38857;EADS Astrium;;;;
2012-055B;38858;EADS Astrium;;;;
2023-001CD;55084;Gama;;;;
2013-018A;39150;Shanghai Academy of Spaceflight Technology (SAST);;;;
2018-031A;43259;China Spacesat;;;;
2018-031B;43260;China Spacesat;;;;
2018-031D;43262;China Spacesat;;;;
2018-043A;43461;China Spacesat;;;;
2018-048A;43484;China Spacesat;;;;
2019-066A;44622;Shanghai Academy of Spaceflight Technology (SAST);;;;
2018-063A;43585;Shanghai Academy of Spaceflight Technology (SAST);;;;
2020-064A;46396;Shanghai Academy of Spaceflight Technology (SAST);;;;
2021-107A;49492;Shanghai Academy of Spaceflight Technology (SAST);;;;
2019-082A;44819;Shanghai Academy of Spaceflight Technology (SAST);;;;
2021-026A;48079;Shanghai Academy of Spaceflight Technology (SAST);;;;
2022-069A;52912;Shanghai Academy of Spaceflight Technology (SAST);;;;
2020-071A;46610;Shanghai Academy of Spaceflight Technology (SAST);;;;
2023-036A;55912;Shanghai Academy of Spaceflight Technology (SAST);;;;
2020-092A;47231;Shanghai Academy of Spaceflight Technology (SAST);;;;
2014-049A;40118;Shanghai Academy of Spaceflight Technology (SAST);;;;
2016-049A;41727;China Academy of Space Technology (CAST);;;;
2021-109A;49495;China Academy of Space Technology (CAST);;;;
2022-035A;52200;China Academy of Space Technology (CAST);;;;
2015-083A;41194;China Aerospace Science and Technology Corp. (CASC);;;;
2021-079A;49122;Shanghai Academy of Spaceflight Technology (SAST);;;;
2019-072A;44703;China Academy of Space Technology (CAST);;;;
2015-030A;40701;Shanghai Academy of Spaceflight Technology (SAST);;;;
2015-047A;40894;Shanghai Academy of Spaceflight Technology (SAST);;;;
2020-034B;45625;Shanghai Academy of Spaceflight Technology (SAST);;;;
2020-039A;45794;Shanghai Academy of Spaceflight Technology (SAST);;;;
2020-054A;46025;Shanghai Academy of Spaceflight Technology (SAST);;;;
2020-058A;46232;Shanghai Academy of Spaceflight Technology (SAST);;;;
2020-042A;45856;China Academy of Space Technology (CAST);;;;
2015-075A;41121;ISS Reshetnev;;;;
2013-066Q;39430;GomSpace;University of Aalborg;;;
2017-082A;43065;Japan Aerospace Exploration Agency (JAXA);;;;
2022-003D;51097;Air Force Research Laboratory;;;;
2015-025G;40657;NearSpace Launch;Air Force Research Laboratory;;;
2020-094A;47234;Shanghai Institute of Microsatellite Innovation;;;;
2020-094B;47235;Shanghai Institute of Microsatellite Innovation;;;;
2022-058A;52785;Geespace;;;;
2022-058B;52786;Geespace;;;;
2022-058C;52787;Geespace;;;;
2022-058D;52788;Geespace;;;;
2022-058E;52789;Geespace;;;;
2022-058F;52790;Geespace;;;;
2022-058G;52791;Geespace;;;;
2022-058H;52792;Geespace;;;;
2022-058J;52793;Geespace;;;;
2006-029A;29252;Bigelow Aerospace;;;;
2007-028A;31789;Bigelow Aerospace;;;;
2016-034A;41579;ISS Reshetnev;;;;
2019-057A;44517;ISS Reshetnev;;;;
2018-100A;43823;Korea Aerospace Research Institute (KARI);;;;
2020-013B;45246;Korea Aerospace Research Institute (KARI);;;;
2008-042A;33331;General Dynamics;;;;
1992-044A;22049;NASA;Goddard Space Flight Center;;;
2021-059CM;48962;AIVT by ISISSpace;;;;
2020-061G;46278;GHGSat;;;;
2021-006DA;47509;GHGSat;;;;
2023-054AC;56204;GHGSat;;;;
2023-054AH;56209;GHGSat;;;;
2023-054J;56186;GHGSat;;;;
2016-040D;41602;University of Toronto, Institute for Aerospace Studies; Space Flight Laboratory;;;
2023-054T;56195;AstroDigital;;;;
2023-054V;56197;AstroDigital;;;;
2012-025A;38337;Japan Aerospace Exploration Agency (JAXA);;;;
2022-064A;52888;Thales Alenia Space;;;;
1999-012D;25652;Space Systems;Loral;;;
2007-020A;31571;Space Systems;Loral;Alenia Aerospazio;;
2007-048C;32265;Space Systems;Loral;Alenia Aerospazio;;
2007-048A;32263;Space Systems;Loral;Alenia Aerospazio;;
2007-020C;31573;Space Systems;Loral;Alenia Aerospazio;;
2007-048B;32264;Space Systems;Loral;Alenia Aerospazio;;
2007-020F;31576;Space Systems;Loral;Alenia Aerospazio;;
2007-020D;31574;Space Systems;Loral;Alenia Aerospazio;;
2010-054F;37193;Thales Alenia Space;;;;
2010-054B;37189;Thales Alenia Space;;;;
2010-054E;37192;Thales Alenia Space;;;;
2010-054C;37190;Thales Alenia Space;;;;
2010-054D;37191;Thales Alenia Space;;;;
2013-005E;39076;Thales Alenia Space;;;;
2010-054A;37188;Thales Alenia Space;;;;
2011-080B;38041;Thales Alenia Space;;;;
2011-033E;37743;Thales Alenia Space;;;;
2011-080C;38042;Thales Alenia Space;;;;
2011-033A;37739;Thales Alenia Space;;;;
2011-080A;38040;Thales Alenia Space;;;;
2011-033D;37742;Thales Alenia Space;;;;
2011-080F;38045;Thales Alenia Space;;;;
2011-033B;37740;Thales Alenia Space;;;;
2011-033F;37744;Thales Alenia Space;;;;
2011-080E;38044;Thales Alenia Space;;;;
2011-033C;37741;Thales Alenia Space;;;;
2011-080D;38043;Thales Alenia Space;;;;
2013-005B;39073;Thales Alenia Space;;;;
2013-005C;39074;Thales Alenia Space;;;;
2013-005F;39077;Thales Alenia Space;;;;
2013-005D;39075;Thales Alenia Space;;;;
2013-005A;39072;Thales Alenia Space;;;;
2022-130A;54031;ISS Reshetnev;;;;
